GEO.id,GEO.display-label,TotalHH,AvgHHSize,NonFamilyHHSize,HHChildren18,TotalHHNonFamily,HHOwnerOcc,HHRentOcc,GEO.id2
1400000US11001000100,"Census Tract 1, District of Columbia, District of Columbia",2446,2.12,1.32,505,1239,53.5,46.5,11001000100
1400000US11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",4,2.75,-,0,0,100,0,11001000201
1400000US11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",1672,2.15,1.78,214,1129,65.8,34.2,11001000202
1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",2563,2.37,1.99,455,1556,52.9,47.1,11001000300
1400000US11001000400,"Census Tract 4, District of Columbia, District of Columbia",597,2.49,1.52,129,234,72.9,27.1,11001000400
1400000US11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",1952,1.67,1.36,167,1469,18.1,81.9,11001000501
1400000US11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",1609,1.93,1.48,245,1103,51.6,48.4,11001000502
1400000US11001000600,"Census Tract 6, District of Columbia, District of Columbia",2126,2.03,1.41,369,1271,69,31,11001000600
1400000US11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",3435,1.52,1.1,333,2429,46.6,53.4,11001000701
1400000US11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",2249,1.5,1.32,161,1787,23.6,76.4,11001000702
1400000US11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",2900,2.17,1.46,639,1513,72.4,27.6,11001000801
1400000US11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",1358,2.27,1.52,332,769,64.2,35.8,11001000802
1400000US11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",1561,2.75,1.6,499,418,83.3,16.7,11001000901
1400000US11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",832,2.8,1.41,359,256,86.5,13.5,11001000902
1400000US11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",2838,2.68,1.53,989,933,73.1,26.9,11001001001
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",1831,1.92,1.59,147,1258,39.7,60.3,11001001002
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",2081,2.09,1.24,431,862,72.8,27.2,11001001100
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",2446,1.98,1.51,407,1435,54.1,45.9,11001001200
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",1935,2.09,1.57,275,1063,32.8,67.2,11001001301
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",4867,1.6,1.35,392,3635,31,69,11001001302
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",1437,2.32,1.38,404,705,53.1,46.9,11001001401
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",1431,2.12,1.3,373,773,57.5,42.5,11001001402
