"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,204950,204500,222000,219950,222900,225500,220000,219200,229000,219900,209500,199350,194800,198000,202450,209150,219000,218000,199900,195000,189900,197000,189900,189000,190000,199500,199500,194500,199900,205475,2e+05,188250,185000,189900,214900,205000,209900,220000,239000,245000,249000,249900,246500,249900,239900,239000,244000,251450,249750,250000,269250,275000,285000,279000,275000,279700,274900,279000,267500,265000,287000,299900,320000,320000,330000,335000,325000,319000,335000,339900,348000,339900,339945
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000,152900,155000,154900,150000,155000,158000,159550,159900,165000,164900,169000,170000,174900,170000,175000,175000,179999,185000,185000,185000,189900,189999,190000,190000,194900,198000,197000,198000
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000,99997,1e+05,106000,109894,109900,110000,115000,117350,114900,112000,113400,110000,105000,113700,115000,117900,120000,120000,125000,125000,129900,129900,129900,130000,134900,135000
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1033500,999500,1050000,992000,975000,1035000,999000,1025000,1095000,1077500,1095000,1085000,1097000,1095000,1147500,1100000,1125000,1097500,1129000,1195000,1195000,1295000,1275000,1200000,1265000,1275000,1295000,1395000,1250000,1299000,1350000,1400000,1450000,1399000,1455000,1467500,1500000,1552500,1595000,1675000,1740000,1750000,1699999,1765000,1827500,1805000
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799000,830000,799000,787500,739000,741950,749000,774000,799000,799000,807450,769000,777000,799000,799000,799000,829000,899000,899000,850000,849450,829450,849000,899000,899000,979000,1049000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,284950,269000,275000,289900,299000,299000,299000,305000,310000,299900,299999,299900,284950,309900,315000,315000,325000,328000,325000,329000,325000,329000,329000,332999.5,335000,335000
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1080000,1085000,1049000,1095000,1049000,996475,1082000,1095000,1175000,1200000,1195000,1150000,1169000,1195000,1175000,1195000,1180000,1200000,1247000,1299999,1395000,1395000,1450000,1395000,1399000,1395000,1350000,1350000,1449000,1350000,1450000,1570000,1600000,1649500,1650000,1650000,1695000,1695000,1675000,1602500,1595000,1595000,1699000,1750000,1750000,1780000,1787500
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107800,110000,108000,109800,114375,114000,114990,116200,118000,124900,125000,128750,119900,119900,124400,125000,126000,126500,132000,135000,135000,139000,139900,137950,137750,139900,138000
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358000,369000,399000,362500,369999,360000,332000,359499.5,365000,360000,362500,389000,419000,425000,425000,439000,399000,442000,399000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184600,182000,175000,174700,180000,180000,179900,189000,183000,199900,2e+05,204250,205000,205000,215000,224900,221960,230000,238000,233999,239900,235000,236990,240000,240000,245000,244994.5
