"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,1025,962.5,1000,1000,1050,980,895,933,950,1000,1105,1088.5,1060.5,1000,1025,1100,1100,1000,1050,1090,1155,1100,1050,1070,1125
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,733,722,715,795,765,750,790,850,800,895,850,850,800,795,795,795,825,795,750,750,795,775,750,775,772,775,750,750,750,775,795,770,750,750,790,795,795,795,799,800,800,835,825,819,850,850,825,850,895,900,900,900,875,925,950,950,925,995,995,900,930,925,929.5,950
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,650,677,650,656,686,667,654,639,640,647.5,667,653.5,697.5,698.5,675,667,670,667,676,695,700,700,700,700,700,786,750,765,767.5,765,762.5,750,770,775,785,785,770,767.5,772.5,750,767.5,767.5,780,825,792.5,707
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500.5,4500,4500,4400,4450,4500,4497.5,4500,4395,4360,4372.5,4437.5,4600,4537.5,4500,4500,4500
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,2100,2000,2100,2250,2100,2200,2100,1995,1875,1795,1790,1795,1775,1775,1812.5,1895,1867.5,1849.5,1750,1847.5,1895,1880,1895,1850,1790,1870,1905,1950,1972.5,1942,1862.5,1922.5,1895,1950,1850,1850,1899.5,1895,1995,2159,2250,2195,2158,2195,2142,2225,2199.5,1995,2250,2272.5,2095,2143,2236,2200,2200,2200,2200,2200,2195,2196.5,2348
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1210,1250,1386,1400,1400,1400,1355,1387.5,1400,1400,1375,1400,1400,1350,1350,1350,1387.5,1350,1350,1360,1350,1400,1400,1434,1360,1360,1400,1360,1400,1450,1450,1500,1600,1500,1450,1400,1500,1500,1625,1595,1800,1699.5
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,3100,3200,3000,2900,2995,3000,2997.5,3000,3350,3250,3250,3350,3200,3200,3200,3100,3200,3200,3200,3295,3350,3361.5,3300,3249,3200,3150,3095,3050,2900,2999,3200,3200,3199.5,3200,3295,3300,3400,3400,3350,3250,3495,3612.5,3595,3650,3750,3867.5,3700,3895,3795,3700,3400,3495,3495,3595,3637.5,3650,3595,3650,3695
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,650,650,695,650,650,650,650,650,650,650,650,650,650,650,650,625,632.5,650,650,650,650,650,650,650,650,650,650,600,600,600,625,650,650,650,650,675,665,650,654.5,650,650,650,650,650,650,650,675,662.5,675,650,675,695,675,695,675,700
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1400,1450,1400,1400,1405,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1400,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1547,1500,1500,1500,1550,1550,1600,1600,1600,1587.5,1675,1600,1600,1600,1624.5,1650,1600
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,960,960,969.5,997,975,950,975,925,930,925,944,944,925,945,1000,975,950,975,950,970,975,968,1059,1100
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",11,,,,,,,,,,,,,,,825,847.5,835,825,800,775,735,725,675,716,740.5,775,750,750,761,788,800,776.5,745,764,775,795,798,789,795,799,778.5,788,799,800,799,815,799,799,800,799,799.5,825,800,805,815,825,877.5,900,897,915,905,875,859,897,880,858,850,902,1040,950,928.5
"Washington Heights","New York","NY","New York","New York",12,,,,,,,,,,,1550,1550,1650,1695,1662.5,1695,1747,1700,1695,1650,1647.5,1650,1678,1675,1687.5,1650,1700,1795,1750,1800,1800,1800,1750,1795,1795,1799.5,1800,1800,1850,1850,1895,1875,1852.5,1850,1850,1850,1850,1875,1875,1895,1900,1950,1900,1975,2000,2000,1975,1995,2000,1975,1975,1975,1950,1995,2000,2043,2050,2050,2000,2000,2000
