"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,1395,1400,1395,1395,1380,1385,1350,1350,1362.5,1362.5,1362.5,1380,1395,1400,1400,1400,1395,1377.5,1398,1475,1500,1495,1450,1495,1450,1450,1450,1450,1450,1400,1400,1400,1450,1400,1462.5,1400,1387.5,1400,1462.5,1495,1475,1500,1495,1495,1500,1450,1450,1450,1412.5
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,1050,1000,982.5,1000,1000,1000,1000,950,977.5,1050,1067.5,1100,1100,1100,1095,1050,995,999.5,997,1099,1100,1100,1099,1051,1067.5,1060,1125,1162.5,1100,1100,1095,1095,1100,1100,1150,1150,1150,1150,1100,1100,1150,1150,1100,1100,1100,1100,1149,1200,1197.5,1175,1160,1150,1150,1150,1100
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",3,,,,,1437.5,1400,1495,1500,1495,1497.5,1495,1450,1450,1362.5,1350,1395,1395,1400,1395,1385,1350,1350,1300,1300,1350,1350,1350,1450,1475,1400,1390,1375,1395,1395,1395,1395,1395,1400,1400,1400,1450,1422.5,1400,1400,1450,1400,1400,1450,1495,1500,1450,1497,1490,1475,1495,1498.5,1450,1450,1495,1465,1495
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",4,2044.5,2050,2150,1900,1800,1800,1800,1950,1800,1920,1950,1800,1800,2000,1795,1772.5,1850,2000,1895,1850,1700,1583,1675,1600,1762.5,1795,1750,1700,1695,1550,1772.5,1772.5,1800,1797.5,1795,1822.5,1850,1822.5,1775,1762.5,2000,2000,1925,1850,1850,1850,1950,2100,2100,2200,2200,2200,2100,2025,2000,1975,1825,1925,1850,2000,1997.5
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",5,,,,,1495,1500,1425,1395,1397,1395,1350,1297.5,1295,1400,1400,1372.5,1350,1550,1450,1397.5,1388,1400,1400,1449,1495,1300,1350,1449,1495,1400,1300,1300,1400,1475,1385,1312.5,1325,1325,1299,1300,1350,1450,1399,1475,1325,1300,1400,1400,1412.5,1375,1350,1350,1500,1450,1497.5,1550,1550,1450,1400,1420,1495
"Washington Heights","New York","NY","New York","New York",6,,,,,,,,,,,,,,2650,2500,2600,2672.5,2695,2672.5,2750,2700,2672.5,2600,2697.5,2695,2750,2700,2700,2700,2697.5,2800,2800,2800,2750,2800,2750,2900,2950,2900,2995,3000,3095,3100,3000,2900,3000,2995,2997,3000,3000,3100,3000,3000,2999.5,3200,3195,3195,3100,3050,3000,3150
"Astoria","New York","NY","New York","Queens",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3200,3450,3300,3300,3500,3500,3300,3200,3000,3000,3100,3550,3500,3500,3500,3500,4000,3500,3500,3500,3200,3150
"Williamsburg","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,4000,3800,3550,4100,3999,3495,3495,3495,3550,4000,4000,4000,4000,4000,4200,4000,4000,4000,3800,3800,3800,3995,4000,4447.5,4500,4899.5,4900,4650,4650,4650,4599,4499.5,4499,4792.5,4795,4500,4775,4750,4750,4799.5,4300,4200,4250,4485
"Bedford Stuyvesant","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,3199.5,3200,3200,3200,3225,3300,3200,3200,3200,3200,3200,3195,3116,3100,3149,3200,3300,3399,3395,3350,3300,3225,3250,3200,3250,3200,3200,3200,3372.5,3497,3500,3450,3496.5,3499,3400
"East Side","El Paso","TX","El Paso","El Paso",10,,,,,,,,,,,,,,,,,1225,1372.5,1350,1287.5,1287.5,1285,1250,1250,1175,1172.5,1195,1200,1222.5,1170,1075,1100,1195,1145,1050,1025,1097.5,1100,1100,1195,1250,1250,1237.5,1200,1272.5,1225,1200,1272.5,1250,1200,1197.5,1162.5,1297.5,1225,1250,1270,1250,1275,1250,1297.5,1315
"Flatbush","New York","NY","New York","Kings",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2875,2700,2695,2695,2650,2600,2600,2900,2575,2600,2800,3000,2800,2800,2837.5,2675,2900,2500,2500,2750,2974.5,2800,2800,2995,3090,3095
"Crown Heights","New York","NY","New York","Kings",12,,,,,,,,,,,,,,,,,,,,,,,,,2600,2500,2675,2900,3000,3100,3200,3200,3499,3299.5,3150,3000,3149.5,3199,3199,3199,3400,3500,3300,3250,3249.5,3800,3799,3450,3250,3300,3208,3362.5,3200,3300,3389,3400,3650,3800,3700,3500,3500
"Bushwick","New York","NY","New York","Kings",13,,,,,,,,,,,,,,,2875,2800,2800,2800,2800,2497,2500,2700,2700,2500,2500,2699,2850,2850,3100,3100,3000,3199,3400,3599,3500,3500,3275,3330,3330,3399,3399.5,3600,3300,3300,3392,3400,3300,3200,3300,3381,3322.5,3250,3392.5,3500,3600,3600,3600,3600,3598,3599,3599
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",14,,2900,2850,3000,3000,3000,3000,3100,2975,3100,2825,2650,2500,2775,2850,2995,2975,2995,3042.5,3085,3300,2889,2800,2750,2680,2650,2700,2700,2695,2725,2500,2600,2772.5,2875,2650,2525,2500,2700,2600,2800,2800,2899,2899,2825,2750,3000,2950,2850,2750,3200,3100,3450,3400,3400,3499,3000,2800,2797.5,3175,3250,3250
"Enterprise","Las Vegas","NV","Las Vegas","Clark",15,1500,1500,1500,1450,1549.5,1425,1395,1395,1450,1375,1350,1385,1395,1380,1395,1495,1400,1400,1395,1450,1395,1400,1400,1397.5,1350,1395,1395,1395,1450,1400,1395,1425,1437.5,1400,1395,1350,1350,1350,1395,1395,1450,1495,1485,1495,1512.5,1495,1495,1450,1450,1450,1450,1495,1450,1495,1512.5,1517.5,1500,1550,1595,1595,1600
"Northwest","El Paso","TX","El Paso","El Paso",16,,,,,1800,1750,1600,1600,1700,1700,1587.5,1800,1800,1700,1800,1800,1700,1550,1662.5,1800,1850,1825,1790,1700,1700,1700,1595,1700,1750,1695,1550,1600,1622.5,1645,1600,1600,1600,1575,1550,1600,1785,1750,1795,1662.5,1600,1600,1600,1700,1737.5,1750,1737.5,1762.5,1672.5,1697.5,1600,1772.5,1600,1695,1695,1675,1600
"Southeast","Arlington","TX","Dallas-Fort Worth","Tarrant",17,,,,,,,,,,,,,,,,,,,,,,,,,,1540,1472.5,1450,1537.5,1537.5,1550,1549,1512.5,1495,1495,1495,1477,1450,1495,1495,1644.5,1575,1495,1500,1495,1495,1495,1495,1512.5,1550,1550,1575,1595,1607,1595,1600,1597.5,1639,1562.5,1597.5,1645
"East Village","New York","NY","New York","New York",18,,,,,4875,4600,4887.5,4995,4800,4800,4800,4797.5,5000,5200,5000,4895,5000,5150,5200,5400,5372.5,5250,5200,5100,5195,5195,5147.5,5200,5200,5100,5250,5265,5200,5195,5195,5100,5295,5295,5300,5400,5500,5695,5975,5739,5739,5739,5700,5739,5719.5,5600,5657.5,5800,5800,5600,5750,6150,6000,6000,5767.5,5500,5500
