"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,795,715,725,699,699.5,699,750,800,749.5,700,700,695,600,700,690,782,780,695,695,695,726.5,729,782.5,797.5,818,885,895,890,890,900.5,890,900,900,901,995,901,940,900.5,947.5,950,950,908,980,1049.5,1100,1100,985,1000,1000,1085,1100,1195,1172.5,1100
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,860,995,900,825,800,795,800,800,800,795,700,700,750,745,750,750,775,795,775,775,775,795,800,799,800,850,875,895,895,850,850,850,895,860,875,875,875,850,900,950,950,950,1000,995,900,1000,1100,1162.5,1095,1100,1100,995,995,950,975,1012.5
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,650,650,600,667.5,650,625,625,625,650,650,650,625,625,625,649.5,649.5,650,650,675,675,775,795,775,750,727.5,725,744,750,725,788,750,750,750,737.5,788,750,750,775,750,725,725,737.5,750,757.5,750,750,750,750,770,788,786,765,795,765,765
"Upper West Side","New York","NY","New York","New York",4,,2900,2950,2950,3200,3200,3050,3400,3500,3600,3400,3500,3000,3250,3200,3200,3072.5,3200,3300,3500,3600,3495,3300,3145,3300,3095,3100,3250,3300,3275,3300,3300,3350,3350,3300,3299,3300,3300,3299,3296,3229,3200,3250,3500,3500,3585,3600,3585,3600,3649.5,3650,3600,3765,3695,3600,3650,3750,3657.5,3650,3700,3600,3650,3695,3695,3700,3750,3750,3800,3795,3775,3775,3772.5
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2200,2200,2200,2295,2325,2400,2425,2425,2350,2300,2497.5,2447.5,2400,2300,2400,2495,2500,2600,2425,2372.5,2296.5,2298,2500,2597.5,2600
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,2595,2600,2600,2637.5,2750,2800,2800,2900,2700,2700,2600,2695,2650,2650,2695,2695,2695,2700,2700,2795,2800,2850,2800,2800,2750,2785,2700,2600,2495,2600,2800,2950,3100,3095,3080,3000,3000,3095,3000,3095,3050,3100,3095,3095,3050,3100,3100,3100,3100,3150,3150,3200,3200,3200,3200,3200,3200,3190,3200
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,700,669,650,650,650,650,650,627,650,650,650,695,695,695,699,652.5,650,695,675,700,650,700,700,700,699.5,700,699,675,650,653.5,650,695,700,705,710,700,700,697.5,700,700,732.5,715,725,750,750,735,707.5,695,725,750,749.5,750,750,750,750,750
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,812.5,825,800,795,800,800,800,795,795,775,774,750,795,795,795,795,800,775,799.5,795,799,800,850,888,900,850,895,877.5,850,850,850,850,825,800,800,799,800,800,800,800,825,825,800,800,825,825,850,850,850,850,850,850,875,882.5,850,875,850,850,850,850,850
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,1125,995,990,1000,1000,990,980,997.5,1000,1075,1000,999,1000,975,975,950,962.5,997,975,925,900,950,965,950,950,950,989,975,990,988,986,995,950,950,950,945,948,975,950,950,950,975,985,995,1050,1000,1000,1045,1000,1000,995,995,1000,1025,1062.5,1200,1195,1147.5,1150,1145,1150,1195,1200,1295,1247.5
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,750,762.5,750,775,800,820,775,745,750,745,755.5,775,750,775,775,796,799,799,800,798,800,825,875,795,834.5,800,800,799,825,849,849,850,850,850,850,850,837.5,825,850,860,860,875,860,860,837.5,850,850,850,850,850,900,850,885,947.5,850,850
