"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1535,1595,1600,1542.5,1595,1550,1585,1550,1572.5,1450,1400,1525,1600
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,1195,1195,1175,1195,1195,1195,1150,1150,1150,1100,1100,1099,1100,1150,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1250,1250,1250,1250,1282.5,1295,1250,1250,1250,1250,1295,1250,1250,1295,1295,1300,1295,1315,1300,1300,1350,1295,1300,1300,1300
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,895,937.5,895,875,875,899,850,850,850,850,850,850,850,850,850,850,845,800,825,825,850,850,875,895,895,895,895,895,875,875,850,850,850,850,850,850,850,850,867.5,850,875,850,850,850,850,872.5,882,895,887,900,895,895,895,900,899,898,900,925,922,925,931,935,925,925,945,950,950
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,3025,3125,3150,3200,3330,3360,3420,3395,3640,3600,3670,3550,3495,3450,3500,3525,3550,3600,3599.5,3595,3450,3360,3300,3250,3250,3200,3396,3400,3350,3250,3250,3295,3250,3237,3117.5,3100,3100,3100,3200,3195,3156,3270,3295,3300,3337.5,3350,3312.5,3295,3235,3295,3300,3350,3300,3337.5,3359,3300,3295,3337.5,3350
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1699.5,1650,1700,1750,1700,1697.5,1757.5,1850,1967.5,1950,2000,2000,1915,1907.5,1977.5,1995,2125,1900,2000,1995,2075,2172.5,2100,2117.5
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,2250,2575,2797.5,2900,3150,3100,3100,3150,3200,3295,3350,3400,3100,3037.5,3000,3051,2842.5,2800,2895,2950,2900,2895,2700,2675,2695,2800,2799,2995,2995,2950,2800,2795,2795,2847.5,2800,2850,2895,2900,2995,2995,2995,2895,3000,3000,3000,3000,3000,3000,2995,2995,2995,2995,2995,2995,2995,2995,2995,2972.5,2995,2950
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,950,950,950,900,950,970,950,925,912.5,900,900,900,900,900,900,950,950,900,900,945,950,925,900,900,900,900,925,950,950,945,949,950,950,950,950,950,950,950,950,950,995,995,975,995,995,995,999,995,995,1000,1000,1000,995,995,1027,1050,1000,1025,1000,1000,1000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1172.5,1250,1295,1250,1295,1242.5,1295,1300,1295,1250,1300,1295,1300,1295,1250,1275,1275,1250,1200,1200,1200,1250,1245,1250,1200,1200,1200,1200,1200,1199,1200,1199,1199,1200,1200,1195,1199.5,1226.5,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1287,1299,1295,1295,1295,1300,1325,1350,1325,1350,1350,1350,1350,1395,1350,1350,1350,1350,1350
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,1600,1662.5,1550,1722.5,1650,1587.5,1550,1472.5,1450,1472.5,1499.5,1450,1450,1395,1395,1400,1400,1350,1350,1295,1395,1395,1395,1395,1395,1350,1400,1400,1350,1337.5,1295,1295,1295,1295,1350,1300,1295,1350,1395,1375,1400,1350,1425,1450,1400,1450,1450,1400,1425,1450,1500,1500,1500,1500,1495,1500,1500,1600,1695,1700,1695,1600,1595,1595,1550,1500,1540,1550,1600,1700,1695
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,1190,1137.5,1172.5,1175,1149.5,1050,1074,1150,1185,1275,1200,1200,1195,1195,1195,1199,1195,1150,1100,1100,1150,1150,1150,1175,1195,1195,1175,1150,1195,1197.5,1200,1199,1195,1199,1200,1200,1195,1195,1195,1195,1150,1175,1150,1175,1195,1195,1195,1184.5,1195,1200,1250,1250,1250,1225,1245,1200,1200,1200,1250,1250,1250,1250,1250,1250,1290,1295,1295,1272.5,1290,1300
"Washington Heights","New York","NY","New York","New York",11,,,,,,,,,,,,,,,,,,,,,,1500,1500,1525,1550,1550,1600,1662.5,1595,1600,1575,1595,1595,1575,1550,1600,1595,1600,1650,1600,1700,1700,1675,1675,1675,1662.5,1700,1695,1695,1700,1700,1700,1675,1700,1700,1700,1700,1700,1687.5,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1687.5,1700
"Astoria","New York","NY","New York","Queens",12,,,,,,,,,,,,,,,,,,,,,,1650,1772.5,1850,1825,1800,1800,1799,1800,1950,2000,2152.5,2200,2200,2200,2200,2200,2200,2200,2300,2400,2275,2300,2300,2400,2550,2375,2300,2250,2250,2200,2100,2250,2180,2250,2200,2200,2400,2400,2500,2447.5,2500,2400,2500,2600,2600,2500,2449.5,2400,2400,2300,2300
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",13,,,,,,,,,,,,900,950,999,1022.5,995,975,975,995,990,950,950,950,950,950,995,995,1000,1000,1000,1000,995,990,975,990,995,995,995,995,997,1012.5,1025,995,1025,1000,995,995,1000,1000,1000,1000,1075,1100,1095,1100,1095,1095,1095,1087,1095,1095,1095,1095,1117.5,1150,1100,1095,1100,1135,1095,1100,1135
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1872.5,1892.5,1800,1750,1750,1800,1895,1772.5,1797.5,1850,1850,1977.5,2100,2000,2150,2045,2000,2100,1995,1995,2125,2000,2197.5,2100,1995,1900,1950,1900,1900,1950,2000,2022.5
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,2850,2850,2775,2825,2800,3222.5,2900,3050,2995,2995,2975,2800,3000,3495,3312.5,2900,3150
"Williamsburg","New York","NY","New York","Kings",16,,,,,,,,,,,,,,,,,,,,,,3465,3318,2900,2600,2600,2750,2800,2700,2750,2800,3250,3200,3010,3100,3205,3099.5,2950,2900,3200,3225,3275,3500,3500,3500,3100,2900,2800,3000,3000,3000,3000,3200,3550,3500,3300,3300,3200,3375,3325,3275,3225,3300,3250,3400,3372.5,3300,3300,3250,3250,3250,3443.5
"Bedford Stuyvesant","New York","NY","New York","Kings",17,,,,,,,,,,,,,,,,,,1600,1600,1650,1625,1550,1500,1500,1500,1500,1600,1650,1650,1675,1700,1750,1700,1700,1700,1750,1795,1800,1800,1992,2000,2000,2100,2200,2200,2100,2072.5,2050,2000,2000,2050,2150,2100,2250,2350,2350,2425,2500,2400,2350,2250,2350,2499,2500,2400,2450,2400,2400,2400,2449,2499.5,2499
