School ID,School Name,Total Enrolled,Grade PK3,Grade PK4,Grade KG,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12,AO,UN,ELL,Special Ed Level 1,Special Ed Level 2,Special Ed Level 3,Special Ed Level 4,School Type,School_Type_Specific,School Year Start,Data Source,Data Source Website
947,C.H.O.I.C.E. Academy at Emery,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,DCPS Alternative Schools,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
950,"Incarcerated Youth Program, Correctional Detention Facility",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,8,2,2,DCPS Alternative Schools,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
884,Luke C. Moore HS,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,1,14,16,0,0,DCPS Alternative Schools,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
474,Washington Metropolitan HS (formerly YEA),280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,2,13,20,7,0,DCPS Alternative Schools,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
861,Youth Services Center,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,3,7,6,11,DCPS Alternative Schools,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
265,Mamie D. Lee School,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,0,0,0,62,DCPS Special Education Schools ,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
312,Sharpe Health School,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,5,0,0,0,65,DCPS Special Education Schools ,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
202,Aiton ES,247,39,44,30,33,40,22,21,18,0,0,0,0,0,0,0,0,0,2,17,4,1,2,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
203,Amidon-Bowen  ES,342,30,42,46,57,49,47,44,27,0,0,0,0,0,0,0,0,0,7,27,21,2,2,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
450,Anacostia HS,751,0,0,0,0,0,0,0,0,0,0,0,325,183,127,116,0,0,0,30,70,79,39,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
452,Ballou HS,678,0,0,0,0,0,0,0,0,0,0,0,268,154,136,120,0,0,1,36,96,22,63,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
462,Ballou STAY,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,0,0,12,12,3,1,DCPS Schools,Unknown,FY2014,OSSE,http://osse.dc.gov/enrollment
204,Bancroft ES,490,47,59,77,65,68,52,72,50,0,0,0,0,0,0,0,0,0,283,48,6,0,7,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
205,Barnard ES,583,64,84,91,85,78,74,53,54,0,0,0,0,0,0,0,0,0,191,49,13,2,22,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
206,Beers ES,422,44,55,66,44,60,42,65,46,0,0,0,0,0,0,0,0,0,1,27,25,3,46,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
402,Benjamin Banneker HS,430,0,0,0,0,0,0,0,0,0,0,0,142,88,97,103,0,0,2,0,0,0,0,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
212,Brent ES,359,39,48,52,58,52,48,47,15,0,0,0,0,0,0,0,0,0,5,28,2,0,2,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
213,Brightwood EC,615,38,47,77,89,59,47,54,57,40,54,53,0,0,0,0,0,0,362,47,10,0,4,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
346,Brookland EC at Bunker Hill,249,15,18,19,19,26,20,23,32,25,26,26,0,0,0,0,0,0,11,23,10,0,0,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
404,Browne EC,349,27,42,28,28,34,35,26,32,29,30,38,0,0,0,0,0,0,17,30,16,3,9,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
296,Bruce Monroe ES at Park View,465,48,53,79,70,62,59,39,55,0,0,0,0,0,0,0,0,0,308,41,11,4,1,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
220,Burroughs EC,278,28,29,39,23,29,20,24,22,25,19,20,0,0,0,0,0,0,13,24,20,3,22,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
221,Burrville ES,354,46,60,51,50,38,36,31,42,0,0,0,0,0,0,0,0,0,1,18,11,1,0,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
247,C.W.  Harris ES,269,17,36,48,47,35,34,24,28,0,0,0,0,0,0,0,0,0,2,22,12,4,29,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
360,Capitol Hill Montessori at Logan,288,63,60,45,48,20,21,19,5,7,0,0,0,0,0,0,0,0,4,11,0,0,0,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
454,Cardozo EC,681,0,0,0,0,0,0,0,0,28,53,65,235,151,93,56,0,0,177,34,75,26,62,DCPS Schools,Middle School,FY2014,OSSE,http://osse.dc.gov/enrollment
224,Cleveland ES,303,37,40,49,41,37,44,24,31,0,0,0,0,0,0,0,0,0,56,23,2,0,2,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
442,Columbia Heights EC (CHEC),1266,0,0,0,0,0,0,0,0,100,94,123,322,231,198,198,0,0,393,98,23,1,3,DCPS Schools,Middle School,FY2014,OSSE,http://osse.dc.gov/enrollment
455,Coolidge HS,433,0,0,0,0,0,0,0,0,0,0,0,143,106,83,101,0,0,44,13,46,11,31,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
405,Deal MS,1248,0,0,0,0,0,0,0,0,413,440,395,0,0,0,0,0,0,52,49,69,4,5,DCPS Schools,Middle School,FY2014,OSSE,http://osse.dc.gov/enrollment
231,Drew ES,168,23,27,27,18,22,18,14,19,0,0,0,0,0,0,0,0,0,0,10,11,2,1,DCPS Schools,Elementary,FY2014,OSSE,http://osse.dc.gov/enrollment
471,Duke Ellington School of the Arts,541,0,0,0,0,0,0,0,0,0,0,0,154,144,131,112,0,0,8,25,2,0,0,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
467,Dunbar HS,628,0,0,0,0,0,0,0,0,0,0,0,206,134,148,140,0,0,2,49,57,19,23,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
457,Eastern HS,783,0,0,0,0,0,0,0,0,0,0,0,374,205,203,1,0,0,4,32,91,29,51,DCPS Schools,Senior High School,FY2014,OSSE,http://osse.dc.gov/enrollment
