School ID,PK3_FY2012,PK3_FY2013,PK3_FY2014,PK3_FY2015,PK4_FY2012,PK4_FY2013,PK4_FY2014,PK4_FY2015, KG_FY2012, KG_FY2013, KG_FY2014, KG_FY2015,01_FY2012,01_FY2013,01_FY2014,01_FY2015,02_FY2012,02_FY2013,02_FY2014,02_FY2015,03_FY2012,03_FY2013,03_FY2014,03_FY2015,04_FY2012,04_FY2013,04_FY2014,04_FY2015,05_FY2012,05_FY2013,05_FY2014,05_FY2015,06_FY2012,06_FY2013,06_FY2014,06_FY2015,07_FY2012,07_FY2013,07_FY2014,07_FY2015,08_FY2012,08_FY2013,08_FY2014,08_FY2015,09_FY2012,09_FY2013,09_FY2014,09_FY2015,10_FY2012,10_FY2013,10_FY2014,10_FY2015,11_FY2012,11_FY2013,11_FY2014,11_FY2015,12_FY2012,12_FY2013,12_FY2014,12_FY2015,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,32,30,39,35,36,39,44,42,44,32,30,45,31,47,33,33,24,32,40,30,28,19,22,32,33,25,21,20,41,28,18,25,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
203,8,31,30,31,20,37,42,34,45,42,46,49,39,42,57,45,37,40,49,50,25,37,47,55,37,23,44,46,43,41,27,35,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
204,43,42,47,49,57,60,59,64,72,72,77,71,54,67,65,70,62,55,68,68,56,73,52,71,66,46,72,50,53,58,50,65,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
205,61,64,64,60,79,83,84,76,96,85,91,84,71,93,85,98,50,66,78,85,59,56,74,81,66,60,53,71,,62,54,47,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
206,40,41,44,41,52,55,55,58,55,46,66,58,46,57,44,70,65,40,60,46,45,65,42,58,40,38,65,42,43,42,46,65,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
212,41,40,39,29,46,48,48,40,54,51,52,62,48,57,58,59,44,48,52,62,49,52,48,58,44,46,47,47,21,16,15,11,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
213,31,40,38,37,51,49,47,50,54,85,77,62,51,60,89,80,55,48,59,92,58,55,47,55,47,61,54,49,59,39,57,60,42,53,40,57,47,45,54,46,54,38,53,51,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
220,25,23,28,32,28,28,29,30,31,31,39,37,32,26,23,36,24,29,29,24,21,25,20,31,32,22,24,29,27,32,22,23,34,19,25,18,20,30,19,24,22,18,20,13,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
221,45,49,46,44,55,56,60,52,50,55,51,62,46,46,50,53,34,38,38,45,48,33,36,47,44,41,31,29,46,39,42,28,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
224,37,31,37,35,43,50,40,44,43,41,49,42,45,37,41,41,32,40,37,44,33,34,44,38,32,35,24,40,36,29,31,24,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
227,30,30,30,27,59,60,56,57,65,54,64,60,63,68,60,51,49,54,53,56,38,45,52,56,48,32,47,43,44,45,34,50,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
229,16,19,,,23,22,,,23,26,,,27,25,,,23,24,,,25,24,,,24,20,,,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,24,23,23,19,30,29,27,29,22,16,27,36,18,21,18,36,18,20,22,24,19,12,18,23,28,20,14,16,22,23,19,18,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
232,,,0,,56,56,36,36,68,76,72,73,76,64,76,76,73,74,70,77,72,69,76,69,50,77,65,78,62,43,75,66,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
238,15,23,19,24,36,29,31,29,37,41,42,42,40,39,44,38,23,43,41,55,38,21,43,35,22,29,22,42,29,20,24,19,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
239,34,32,42,52,33,40,48,34,37,29,47,37,42,28,27,39,23,38,30,24,19,21,41,17,28,18,20,27,21,22,25,14,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
246,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,103,131,110,130,139,129,134,119,170,144,127,137,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
247,27,19,17,13,25,45,36,39,31,52,48,41,37,40,47,44,28,33,35,53,23,33,34,46,24,23,24,32,29,20,28,23,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,
