School Year ,Public Charter Schools , DC Public Schools  
1967-1968,0,149150
1968-1969,0,149020
1969-1970,0,149054
1970-1971,0,145704
1971-1972,0,142512
1972-1973,0,139918
1973-1974,0,136036
1974-1975,0,131691
1975-1976,0,129969
1976-1977,0,125848
1977-1978,0,119875
1978-1979,0,113858
1979-1980,0,106156
1980-1981,0,100049
1981-1982,0,94975
1982-1983,0,91105
1983-1984,0,88843
1984-1985,0,87397
1985-1986,0,87092
1986-1987,0,85612
1987-1988,0,86435
1988-1989,0,84792
1989-1990,0,81301
1990-1991,0,80694
1991-1992,0,80618
1992-1993,0,80937
1993-1994,0,80678
1994-1995,0,80450
1995-1996,0,79802
1996-1997,160,78648
1997-1998,300,77111
1998-1999,3594,71889
1999-2000,6980,70762
2000-2001,9881,68925
2001-2002,10679,65821
2002-2003,11452,64272
2003-2004,13715,61567
2004-2005,15839,58693
2005-2006,17817,55298
2006-2007,19733,52645
2007-2008,21947,49422
2008-2009,25729,45190
2009-2010,27617,44718
2010-2011,29356,45630
2011-2012,31562,45191
2012-2013,34673,45557
2013-2014,36565,46393
2014-2015 ,37684,47548
2015-2016,,
